year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,9,B6,JetBlue Airways,OAK,"Oakland, CA: Metropolitan Oakland International",485.0,35.0,9.33,0.05,14.08,0.78,10.76,2.0,0.0,1518.0,341.0,9.0,551.0,20.0,597.0
2013,4,MQ,American Eagle Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",287.0,68.0,14.44,10.0,17.64,0.0,25.91,21.0,0.0,4194.0,1000.0,844.0,876.0,0.0,1474.0
2021,1,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",3806.0,298.0,75.89,5.19,170.36,1.0,45.56,23.0,4.0,12780.0,4400.0,468.0,4661.0,30.0,3221.0
2004,1,OO,SkyWest Airlines Inc.,EKO,"Elko, NV: Elko Regional",220.0,78.0,38.0,5.0,28.0,0.0,7.0,10.0,0.0,3677.0,1754.0,251.0,1337.0,0.0,335.0
2004,12,RU,ExpressJet Airlines Inc.,LCH,"Lake Charles, LA: Lake Charles Regional",135.0,20.0,1.52,2.94,9.74,0.0,5.79,0.0,0.0,898.0,53.0,226.0,282.0,0.0,337.0
2016,3,UA,United Air Lines Inc.,PDX,"Portland, OR: Portland International",404.0,61.0,23.33,3.14,10.18,0.0,24.35,4.0,0.0,3749.0,1413.0,283.0,378.0,0.0,1675.0
2020,9,YX,Republic Airline,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",127.0,10.0,5.39,0.0,4.45,0.0,0.16,0.0,1.0,363.0,210.0,0.0,144.0,0.0,9.0
2012,4,DL,Delta Air Lines Inc.,IND,"Indianapolis, IN: Indianapolis International",398.0,32.0,17.54,0.0,4.58,0.0,9.89,0.0,0.0,1816.0,1328.0,0.0,98.0,0.0,390.0
2013,5,MQ,American Eagle Airlines Inc.,BNA,"Nashville, TN: Nashville International",682.0,178.0,50.25,13.74,56.98,0.0,57.03,14.0,0.0,10317.0,2546.0,869.0,2794.0,0.0,4108.0
2005,10,NW,Northwest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",262.0,26.0,11.62,1.07,11.46,0.0,1.85,1.0,0.0,872.0,445.0,46.0,312.0,0.0,69.0
2005,1,OO,SkyWest Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",842.0,160.0,95.0,18.0,14.0,2.0,31.0,28.0,0.0,8082.0,4257.0,1188.0,932.0,44.0,1661.0
2010,3,OO,SkyWest Airlines Inc.,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",298.0,23.0,5.17,0.0,2.86,0.0,14.97,0.0,0.0,1384.0,311.0,0.0,201.0,0.0,872.0
2007,6,US,US Airways Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",30.0,6.0,4.3,0.0,0.88,0.0,0.82,0.0,0.0,460.0,418.0,0.0,15.0,0.0,27.0
2018,5,B6,JetBlue Airways,HPN,"White Plains, NY: Westchester County",341.0,81.0,27.45,1.82,18.03,0.0,33.71,6.0,13.0,6969.0,1981.0,158.0,1370.0,0.0,3460.0
2008,1,WN,Southwest Airlines Co.,LBB,"Lubbock, TX: Lubbock Preston Smith International",382.0,72.0,21.52,0.08,1.84,0.0,48.56,0.0,0.0,2880.0,700.0,6.0,56.0,0.0,2118.0
2015,10,MQ,Envoy Air,SYR,"Syracuse, NY: Syracuse Hancock International",122.0,8.0,2.94,0.0,1.63,0.0,3.43,1.0,0.0,336.0,160.0,0.0,34.0,0.0,142.0
2009,4,FL,AirTran Airways Corporation,MLI,"Moline, IL: Quad City International",107.0,20.0,7.88,0.0,3.19,0.0,8.93,3.0,1.0,1186.0,200.0,0.0,137.0,0.0,849.0
2013,2,MQ,American Eagle Airlines Inc.,LCH,"Lake Charles, LA: Lake Charles Regional",56.0,12.0,3.55,1.62,2.12,0.0,4.72,0.0,0.0,494.0,143.0,109.0,55.0,0.0,187.0
2020,9,OO,SkyWest Airlines Inc.,RKS,"Rock Springs, WY: Southwest Wyoming Regional",30.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,148.0,148.0,0.0,0.0,0.0,0.0
2022,4,YV,Mesa Airlines Inc.,YUM,"Yuma, AZ: Yuma MCAS/Yuma International",52.0,7.0,2.36,0.0,0.9,0.0,3.74,0.0,0.0,627.0,120.0,0.0,27.0,0.0,480.0
2008,12,YV,Mesa Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",229.0,71.0,40.0,6.0,20.51,0.0,4.49,4.0,0.0,4692.0,3162.0,272.0,894.0,0.0,364.0
2019,5,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",138.0,28.0,4.64,2.97,17.0,0.0,3.38,0.0,0.0,2045.0,720.0,159.0,537.0,0.0,629.0
2014,8,US,US Airways Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",150.0,16.0,5.37,0.0,5.91,0.0,4.72,0.0,0.0,720.0,334.0,0.0,211.0,0.0,175.0
2008,1,DL,Delta Air Lines Inc.,JAC,"Jackson, WY: Jackson Hole",48.0,8.0,2.9,0.18,1.73,0.0,3.19,6.0,0.0,607.0,249.0,16.0,108.0,0.0,234.0
2012,8,AA,American Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",31.0,11.0,6.74,0.57,3.37,0.0,0.31,0.0,0.0,577.0,420.0,27.0,113.0,0.0,17.0
2009,4,F9,Frontier Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",180.0,45.0,10.0,0.08,12.42,0.0,22.5,2.0,0.0,1884.0,395.0,8.0,433.0,0.0,1048.0
2005,12,EV,Atlantic Southeast Airlines,CRW,"Charleston/Dunbar, WV: Yeager",163.0,50.0,22.63,6.98,17.39,0.0,3.0,1.0,0.0,2562.0,996.0,652.0,806.0,0.0,108.0
2007,10,OH,Comair Inc.,STL,"St. Louis, MO: St Louis Lambert International",160.0,31.0,15.3,0.97,13.74,0.0,1.0,5.0,0.0,1512.0,632.0,85.0,729.0,0.0,66.0
2005,2,DL,Delta Air Lines Inc.,STL,"St. Louis, MO: St Louis Lambert International",140.0,22.0,5.48,1.05,8.14,0.0,7.32,5.0,0.0,1229.0,316.0,76.0,418.0,0.0,419.0
2010,7,US,US Airways Inc.,SAN,"San Diego, CA: San Diego International",346.0,56.0,18.23,5.52,16.16,0.0,16.1,0.0,0.0,3085.0,951.0,463.0,776.0,0.0,895.0
2021,12,AA,American Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",28.0,3.0,1.94,0.0,1.06,0.0,0.0,0.0,0.0,154.0,108.0,0.0,46.0,0.0,0.0
2007,6,9E,Pinnacle Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",165.0,36.0,10.26,2.98,13.05,0.0,9.71,9.0,3.0,3045.0,1074.0,425.0,841.0,0.0,705.0
2009,8,WN,Southwest Airlines Co.,HOU,"Houston, TX: William P Hobby",3820.0,621.0,165.1,28.8,108.36,1.78,316.96,39.0,19.0,31864.0,6342.0,2091.0,5578.0,56.0,17797.0
2003,11,MQ,American Eagle Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",202.0,77.0,20.85,3.15,16.22,0.0,36.78,13.0,1.0,3741.0,840.0,221.0,650.0,0.0,2030.0
2021,12,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",41.0,9.0,5.37,1.63,2.0,0.0,0.0,2.0,1.0,486.0,166.0,208.0,112.0,0.0,0.0
2019,12,NK,Spirit Air Lines,STX,"Christiansted, VI: Henry E. Rohlsen",14.0,4.0,1.94,0.0,2.06,0.0,0.0,0.0,0.0,379.0,32.0,0.0,347.0,0.0,0.0
2019,1,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",1792.0,276.0,48.0,16.0,80.0,0.0,132.0,91.0,1.0,22643.0,6511.0,2047.0,2907.0,0.0,11178.0
2022,5,F9,Frontier Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",30.0,14.0,5.01,0.0,6.61,0.0,2.38,0.0,0.0,953.0,356.0,0.0,337.0,0.0,260.0
2004,11,OO,SkyWest Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",176.0,49.0,32.0,4.0,3.0,0.0,10.0,3.0,0.0,1816.0,973.0,224.0,246.0,0.0,373.0
2013,4,MQ,American Eagle Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",205.0,83.0,17.62,4.86,37.37,0.0,23.14,13.0,0.0,4612.0,939.0,328.0,1463.0,0.0,1882.0
2004,7,OO,SkyWest Airlines Inc.,LAN,"Lansing, MI: Capital Region International",52.0,21.0,9.0,2.0,2.0,1.0,7.0,2.0,0.0,1417.0,442.0,138.0,113.0,64.0,660.0
2006,11,AS,Alaska Airlines Inc.,SIT,"Sitka, AK: Sitka Rocky Gutierrez",90.0,32.0,6.21,3.84,6.51,0.0,15.43,5.0,2.0,1209.0,184.0,208.0,219.0,0.0,598.0
2020,3,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",176.0,27.0,22.63,0.0,1.0,0.42,2.95,23.0,0.0,2294.0,1682.0,0.0,471.0,8.0,133.0
2017,12,EV,ExpressJet Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",49.0,9.0,5.52,0.0,1.77,0.0,1.71,2.0,0.0,621.0,386.0,0.0,89.0,0.0,146.0
2020,7,F9,Frontier Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",346.0,44.0,14.74,2.0,14.82,0.0,12.44,20.0,1.0,2158.0,715.0,75.0,629.0,0.0,739.0
2004,5,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",625.0,158.0,28.77,4.71,82.68,0.0,41.84,29.0,2.0,11343.0,1615.0,332.0,5867.0,0.0,3529.0
2007,12,XE,ExpressJet Airlines Inc.,BGR,"Bangor, ME: Bangor International",43.0,8.0,3.2,0.0,2.64,0.0,2.16,4.0,0.0,322.0,153.0,0.0,53.0,0.0,116.0
2009,10,OH,Comair Inc.,CHS,"Charleston, SC: Charleston AFB/International",56.0,18.0,3.3,3.36,6.05,0.0,5.29,0.0,0.0,1005.0,209.0,246.0,243.0,0.0,307.0
2009,9,YV,Mesa Airlines Inc.,TYS,"Knoxville, TN: McGhee Tyson",52.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,272.0,0.0,0.0,0.0,0.0
2012,2,EV,ExpressJet Airlines Inc.,PNS,"Pensacola, FL: Pensacola International",209.0,47.0,23.74,1.43,6.96,0.0,14.87,6.0,1.0,2966.0,1615.0,148.0,343.0,0.0,860.0
2021,12,AA,American Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",60.0,7.0,3.05,0.0,1.35,0.0,2.61,0.0,0.0,373.0,135.0,0.0,36.0,0.0,202.0
2011,5,XE,ExpressJet Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",198.0,47.0,12.74,1.01,13.84,0.03,19.38,5.0,0.0,2623.0,600.0,24.0,453.0,2.0,1544.0
2012,7,EV,ExpressJet Airlines Inc.,LGA,"New York, NY: LaGuardia",469.0,104.0,24.05,2.81,46.9,0.0,30.23,52.0,1.0,7695.0,1944.0,313.0,2952.0,0.0,2486.0
2015,2,EV,ExpressJet Airlines Inc.,HOB,"Hobbs, NM: Lea County Regional",47.0,9.0,4.22,0.0,3.3,0.0,1.48,2.0,1.0,419.0,247.0,0.0,78.0,0.0,94.0
2015,8,AS,Alaska Airlines Inc.,YAK,"Yakutat, AK: Yakutat Airport",62.0,11.0,2.92,0.0,2.15,2.66,3.27,0.0,0.0,427.0,90.0,0.0,58.0,72.0,207.0
2008,10,WN,Southwest Airlines Co.,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",320.0,42.0,17.05,0.0,1.41,0.0,23.54,0.0,2.0,1795.0,827.0,0.0,45.0,0.0,923.0
2018,4,OO,SkyWest Airlines Inc.,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",90.0,7.0,3.12,0.0,0.34,0.0,3.55,2.0,1.0,546.0,143.0,0.0,23.0,0.0,380.0
2006,1,CO,Continental Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",389.0,49.0,13.92,3.52,18.48,0.78,12.31,6.0,1.0,2014.0,639.0,189.0,562.0,14.0,610.0
2003,9,WN,Southwest Airlines Co.,SAT,"San Antonio, TX: San Antonio International",1313.0,173.0,53.94,3.8,30.91,0.0,84.36,29.0,2.0,8122.0,2396.0,195.0,1207.0,0.0,4324.0
2006,6,AS,Alaska Airlines Inc.,GST,"Gustavus, AK: Gustavus Airport",27.0,5.0,0.96,0.0,2.24,0.0,1.8,0.0,0.0,344.0,34.0,0.0,60.0,0.0,250.0
2022,5,OO,SkyWest Airlines Inc.,TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",32.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,703.0,0.0,0.0,0.0,0.0
2012,9,UA,United Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",482.0,72.0,32.63,1.16,21.21,0.0,17.0,1.0,0.0,2990.0,1280.0,47.0,766.0,0.0,897.0
2006,8,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",4546.0,1248.0,156.48,32.97,541.93,25.65,490.97,16.0,20.0,82051.0,10597.0,3983.0,34004.0,833.0,32634.0
2019,4,EV,ExpressJet Airlines LLC,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",29.0,9.0,3.87,1.0,2.33,0.0,1.8,2.0,0.0,765.0,211.0,117.0,163.0,0.0,274.0
2019,10,WN,Southwest Airlines Co.,OAK,"Oakland, CA: Metropolitan Oakland International",3596.0,408.0,131.98,2.88,69.69,0.91,202.54,61.0,0.0,17936.0,6876.0,113.0,1973.0,68.0,8906.0
2010,12,DL,Delta Air Lines Inc.,PDX,"Portland, OR: Portland International",339.0,142.0,43.33,4.77,63.94,0.0,29.97,5.0,0.0,6143.0,1873.0,241.0,2221.0,0.0,1808.0
2020,6,G4,Allegiant Air,IDA,"Idaho Falls, ID: Idaho Falls Regional",37.0,9.0,3.92,0.0,2.55,0.0,2.54,0.0,0.0,369.0,136.0,0.0,64.0,0.0,169.0
2014,5,F9,Frontier Airlines Inc.,UST,"St. Augustine, FL: Northeast Florida Regional",13.0,3.0,1.81,0.0,1.12,0.0,0.07,0.0,0.0,193.0,141.0,0.0,46.0,0.0,6.0
2005,1,UA,United Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",461.0,132.0,44.63,4.05,38.8,0.0,44.51,23.0,0.0,7646.0,2141.0,243.0,1658.0,0.0,3604.0
2003,10,US,US Airways Inc.,MDT,"Harrisburg, PA: Harrisburg International",124.0,9.0,2.8,0.0,2.44,0.0,3.76,1.0,0.0,329.0,153.0,0.0,66.0,0.0,110.0
2006,1,MQ,American Eagle Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",242.0,48.0,23.62,5.41,12.09,0.0,6.88,0.0,0.0,1844.0,859.0,315.0,390.0,0.0,280.0
2004,12,DH,Independence Air,BTV,"Burlington, VT: Burlington International",180.0,52.0,16.48,2.04,4.97,0.0,28.51,5.0,1.0,2975.0,630.0,82.0,145.0,0.0,2118.0
2018,9,UA,United Air Lines Inc.,GUM,"Guam, TT: Guam International",68.0,9.0,2.02,0.0,2.82,0.0,4.16,2.0,0.0,741.0,69.0,0.0,87.0,0.0,585.0
2010,6,F9,Frontier Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",34.0,7.0,2.4,0.0,3.08,0.0,1.53,0.0,0.0,339.0,107.0,0.0,94.0,0.0,138.0
2011,2,UA,United Air Lines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",28.0,4.0,0.62,0.0,0.95,0.0,2.43,1.0,0.0,79.0,13.0,0.0,22.0,0.0,44.0
2014,5,US,US Airways Inc.,LAX,"Los Angeles, CA: Los Angeles International",549.0,101.0,38.79,3.98,36.9,0.95,20.39,1.0,0.0,4996.0,1879.0,282.0,1151.0,36.0,1648.0
2010,10,MQ,American Eagle Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",150.0,19.0,9.15,1.18,1.36,0.0,7.31,2.0,0.0,816.0,438.0,39.0,32.0,0.0,307.0
2017,5,OO,SkyWest Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",25.0,4.0,0.91,0.0,2.44,0.0,0.65,1.0,1.0,143.0,42.0,0.0,90.0,0.0,11.0
2007,1,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",709.0,242.0,60.19,24.86,66.08,0.0,90.86,32.0,1.0,12708.0,2865.0,1765.0,2665.0,0.0,5413.0
2008,12,CO,Continental Air Lines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",102.0,36.0,18.49,1.33,5.98,0.0,10.2,0.0,0.0,2044.0,995.0,100.0,316.0,0.0,633.0
2004,1,DH,Atlantic Coast Airlines,DSM,"Des Moines, IA: Des Moines International",62.0,25.0,8.11,4.4,6.88,0.0,5.6,4.0,0.0,1578.0,485.0,191.0,254.0,0.0,648.0
2021,10,MQ,Envoy Air,BUF,"Buffalo, NY: Buffalo Niagara International",56.0,10.0,1.96,0.2,3.39,0.0,4.45,2.0,0.0,491.0,69.0,8.0,158.0,0.0,256.0
